sample_id,source_name,channel,input_type,seed_label,ground_truth_label,category,market,has_url_flag,has_email_flag,has_phone_flag,message_text_gold
mendeley_sms_00026,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Ok i thk i got it. Then u wan me 2 come now or wat?
mendeley_sms_00027,mendeley_sms_phishing,sms,text,Smishing,scam,none,unknown,No,No,yes,UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403233
mendeley_sms_00028,mendeley_sms_phishing,sms,text,spam,scam,none,unknown,yes,No,No,"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow"
mendeley_sms_00029,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Oh... Lk tt den we take e one tt ends at cine lor... Dun wan yogasana oso can...
mendeley_sms_00030,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Whens your radio show?
mendeley_sms_00031,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,"Jane babes not goin 2 wrk, feel ill after lst nite. Foned in already cover 4 me chuck.:-)"
mendeley_sms_00032,mendeley_sms_phishing,sms,text,spam,scam,none,unknown,No,No,yes,"New Offer! Save upto 40\% electricity bill with Power Saver(GOVT. LAB TESTED), Rs. 1050/-(free home delivery) 3 Yr. Guarantee Call 9891943823,9891943780"
mendeley_sms_00033,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,What * u wearing?
mendeley_sms_00034,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,o turns out i had stereo love on mi phone under the unknown album.
mendeley_sms_00035,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,"Ela kano.,il download, come wen ur free.."
mendeley_sms_00036,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,"Haha figures, well I found the piece and priscilla's bowl"
mendeley_sms_00037,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Can you do online transaction?
mendeley_sms_00038,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Ü neva tell me how i noe... I'm not at home in da aft wat...
mendeley_sms_00039,mendeley_sms_phishing,sms,text,Smishing,scam,none,unknown,No,No,yes,YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a £150 prize. To collect is easy. Just call 09061743386
mendeley_sms_00040,mendeley_sms_phishing,sms,text,spam,scam,none,unknown,No,No,No,You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750
mendeley_sms_00041,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,What you doing?how are you?
mendeley_sms_00042,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,I didn't get the second half of that message
mendeley_sms_00043,mendeley_sms_phishing,sms,text,Smishing,scam,none,unknown,No,No,yes,Phony £350 award - Todays Voda numbers ending XXXX are selected to receive a £350 award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app
mendeley_sms_00044,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Can help u swoop by picking u up from wherever ur other birds r meeting if u want.
mendeley_sms_00045,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Ok lor�whats up�
mendeley_sms_00046,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Hello madam how are you ?
mendeley_sms_00047,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Was actually sleeping and still might when u call back. So a text is gr8. You rock sis. Will send u a text wen i wake.
mendeley_sms_00048,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Good. do you think you could send me some pix? I would love to see your top and bottom...
mendeley_sms_00049,mendeley_sms_phishing,sms,text,Smishing,scam,none,unknown,yes,No,No,Apple ID: [BUXCX7GBVwWCcOD Final Notification Your Apple 1D is due to expire today. Prevent this by confirming your Apple ID at�http://verifyapple.uk Apple Inc
mendeley_sms_00050,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,HEY MATE! HOWS U HONEY?DID U AVE GOOD HOLIDAY? GIMMI DE GOSS!x
mendeley_sms_00051,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,"I don't have anybody's number, I still haven't thought up a tactful way to ask alex"
mendeley_sms_00052,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,"I'm taking derek &amp; taylor to walmart, if I'm not back by the time you're done just leave the mouse on my desk and I'll text you when priscilla's ready"
mendeley_sms_00053,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Ok..let me knw
mendeley_sms_00054,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,You are a very very very very bad girl. Or lady.
mendeley_sms_00055,mendeley_sms_phishing,sms,text,Smishing,scam,none,unknown,No,No,yes,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app
mendeley_sms_00056,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,K then 2marrow are you coming to class.
mendeley_sms_00057,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Kallis wont bat in 2nd innings.
mendeley_sms_00058,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Meeting u is my work. . . Tel me when shall i do my work tomorrow�.That is what matters�
mendeley_sms_00059,mendeley_sms_phishing,sms,text,spam,scam,none,unknown,No,No,No,Overcome programming challenges for multicore and learn the techniques to scale reliability. Attend Intel session at 3.45 PM at Microsoft Community TechDays
mendeley_sms_00060,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,"Haha, my legs and neck are killing me and my amigos are hoping to end the night with a burn, think I could swing by in like an hour?"
mendeley_sms_00061,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Every day i use to sleep after  &lt;#&gt;  so only.
mendeley_sms_00062,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,"Sorry, have urgent work.."
mendeley_sms_00063,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Good Morning plz call me sir..I have an urgent work..
mendeley_sms_00064,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Oh shut it. Omg yesterday I had a dream that I had 2 kids both boys. I was so pissed. Not only about the kids but them being boys. I even told mark in my dream that he was changing diapers cause I'm not getting owed in the face.
mendeley_sms_00065,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,"Ahhhh...just woken up!had a bad dream about u tho,so i dont like u right now :) i didnt know anything about comedy night but i guess im up for it."
mendeley_sms_00066,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Its hard to believe things like this. All can say lie but think twice before saying anything to me.
mendeley_sms_00067,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Wow didn't think it was that common. I take it all back ur not a freak! Unless u chop it off:-)
mendeley_sms_00068,mendeley_sms_phishing,sms,text,spam,scam,none,unknown,No,No,yes,"5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, £3 per pole. UnSub 08718727870."
mendeley_sms_00069,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Yup he msg me: is tat yijue? Then i tot it's my group mate cos we meeting today mah... I'm askin if ü leaving earlier or wat mah cos mayb ü haf to walk v far...
mendeley_sms_00070,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,You need to get up. Now.
mendeley_sms_00071,mendeley_sms_phishing,sms,text,Smishing,scam,none,unknown,No,No,yes,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!
mendeley_sms_00072,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Howz pain?hope u r fine..
mendeley_sms_00073,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Love it! The girls at the office may wonder why you are smiling but sore...
mendeley_sms_00074,mendeley_sms_phishing,sms,text,Smishing,scam,none,unknown,No,No,yes,<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.
mendeley_sms_00075,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,it's still not working. And this time i also tried adding zeros. That was the savings. The checking is  &lt;#&gt;
mendeley_sms_00076,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,how's things? Just a quick question.
mendeley_sms_00077,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Die... I accidentally deleted e msg i suppose 2 put in e sim archive. Haiz... I so sad...
mendeley_sms_00078,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,"no, i *didn't* mean to post it. I wrote it, and like so many other times i've ritten stuff to you, i let it sit there. it WAS what i was feeling at the time. I was angry. Before i left, i hit send, then stop. It wasn't there. I checked on my phone when i got to my car. It wasn't there. You said you didn't sleep, you were bored. So why wouldn't THAT be the time to clean, fold laundry, etc.? At least make the bed?"
mendeley_sms_00079,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Sorry i missed your call. Can you please call back.
mendeley_sms_00080,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,How are you. Its been ages. How's abj
mendeley_sms_00081,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,As if i wasn't having enough trouble sleeping.
mendeley_sms_00082,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Hello. They are going to the village pub at 8 so either come here or there accordingly. Ok?
mendeley_sms_00083,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Thnx dude. u guys out 2nite?
mendeley_sms_00084,mendeley_sms_phishing,sms,text,spam,scam,none,unknown,No,No,yes,"Noida Commercial Wave Sec-18  Silver @ 11500/- PSF  Gold @ 12500/- PSF,  Logix Sec-124 @ 8200/- PSF For Best Deal Call 9711131802 /3"
mendeley_sms_00085,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,So are you guys asking that i get that slippers again or its gone with last year
mendeley_sms_00086,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,U guys never invite me anywhere :(
mendeley_sms_00087,mendeley_sms_phishing,sms,text,spam,scam,none,unknown,yes,No,yes,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Send HMV to 86688 More info:www.100percent-real.com
mendeley_sms_00088,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,My computer just fried the only essential part we don't keep spares of because my idiot roommates looovvve leaving the thing running on full  &lt;#&gt; /7
mendeley_sms_00089,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,"Hey sexy buns ! Have I told you ? I adore you, loverboy. I hope you remember to thank your sister in law for those meatballs *grins* ... i love you, babe"
mendeley_sms_00090,mendeley_sms_phishing,sms,text,spam,scam,none,unknown,No,No,yes,"Welcome to UK-mobile-date this msg is FREE giving you free calling to 08719839835. Future mgs billed at 150p daily. To cancel send ""go stop"" to 89123"
mendeley_sms_00091,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,"Velly good, yes please!"
mendeley_sms_00092,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,"By march ending, i should be ready. But will call you for sure. The problem is that my capital never complete. How far with you. How's work and the ladies"
mendeley_sms_00093,mendeley_sms_phishing,sms,text,Smishing,scam,none,unknown,No,No,yes,You have won a guaranteed £200 award or even £1000 cashto claim UR award call free on 08000407166 (18+) 2 stop getstop on 88333 PHP
mendeley_sms_00094,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Jokin only lar... :-) depends on which phone my father can get lor...
mendeley_sms_00095,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,I thought slide is enough.
mendeley_sms_00096,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,IM GONNAMISSU SO MUCH!!I WOULD SAY IL SEND U A POSTCARD BUTTHERES ABOUTAS MUCH CHANCE OF MEREMEMBERIN ASTHERE IS OFSI NOT BREAKIN HIS CONTRACT!! LUV Yaxx
mendeley_sms_00097,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Dude we should go sup again
mendeley_sms_00098,mendeley_sms_phishing,sms,text,Smishing,scam,none,unknown,No,No,yes,"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000928. PoBox45W2TG150P"
mendeley_sms_00099,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Shopping lor. Them raining mah hard 2 leave orchard.
mendeley_sms_00100,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,What's up my own oga. Left my phone at home and just saw ur messages. Hope you are good. Have a great weekend.
mendeley_sms_00101,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Need a coffee run tomo?Can't believe it's that time of week already
mendeley_sms_00102,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Oooh bed ridden ey? What are YOU thinking of?
mendeley_sms_00103,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Ok not a problem will get them a taxi. C ing  tomorrow and tuesday. On tuesday think we r all going to the cinema.
mendeley_sms_00104,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Ok... C ya...
mendeley_sms_00105,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Are you this much buzy�.I don�t think so
mendeley_sms_00106,mendeley_sms_phishing,sms,text,spam,scam,none,unknown,No,No,No,ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT GIV A SHIT. BAILIFF DUE IN DAYS. I O £250 3 WANT £800
mendeley_sms_00107,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Please give it 2  or i will pick it up on Tuesday evening about 8 if that is ok.
mendeley_sms_00108,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,I was up all night too worrying about this appt. It's a shame we missed a girls night out with quizzes popcorn and you doing my hair.
mendeley_sms_00109,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Ha ha ha good joke. Girls are situation seekers.
mendeley_sms_00110,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,"Sir, i am waiting for your call."
mendeley_sms_00111,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Yay! You better not have told that to 5 other girls either.
mendeley_sms_00112,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,But i'll b going 2 sch on mon. My sis need 2 take smth.
mendeley_sms_00113,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Yo theres no class tmrw right?
mendeley_sms_00114,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,"My painful personal thought- ""I always try to keep everybody happy all the time. But nobody recognises me when i am alone"""
mendeley_sms_00115,mendeley_sms_phishing,sms,text,spam,scam,none,unknown,No,No,No,RCT' THNQ Adrian for U text. Rgds Vatian
mendeley_sms_00116,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Not sure I have the stomach for it ...
mendeley_sms_00117,mendeley_sms_phishing,sms,text,Smishing,scam,none,unknown,No,No,yes,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101359 NOW! Only 10p per min. BT-national-rate"
mendeley_sms_00118,mendeley_sms_phishing,sms,text,Spam,scam,none,unknown,No,No,yes,Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 09701213186
mendeley_sms_00119,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,I'll let you know when it kicks in
mendeley_sms_00120,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,"Yup, no need. I'll jus wait 4 e rain 2 stop."
mendeley_sms_00121,mendeley_sms_phishing,sms,text,spam,scam,none,unknown,No,No,No,Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS)
mendeley_sms_00122,mendeley_sms_phishing,sms,text,Smishing,scam,none,unknown,No,No,yes,Dear PAYTM customer your Paytm KYC has expired. Contact customer care No-6200992462 immediately. your account will Block within 24 hr. Thank you PAYTM TEAM.
mendeley_sms_00123,mendeley_sms_phishing,sms,text,spam,scam,none,unknown,No,No,No,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G."
mendeley_sms_00124,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Not planned yet :)going to join company on jan 5 only.don know what will happen after that.
mendeley_sms_00125,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,"Arms fine, how's Cardiff and uni?"
mendeley_sms_00126,mendeley_sms_phishing,sms,text,spam,scam,none,unknown,No,No,yes,oor Step Service for Passport Assistance/PAN Card/Income Tax Return/VAT Return/Service Tax Return Contact M/s ONS 9650669988 Jwala Heri Mkt Paschim Viha
mendeley_sms_00127,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,I'm really sorry i won't b able 2 do this friday.hope u can find an alternative.hope yr term's going ok:-)
mendeley_sms_00128,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Ok then i will come to ur home after half an hour
mendeley_sms_00129,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,ITS A LAPTOP TAKE IT WITH YOU.
mendeley_sms_00130,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,S.i think he is waste for rr..
mendeley_sms_00131,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Anyway seriously hit me up when you're back because otherwise I have to light up with armand and he always has shit and/or is vomiting
mendeley_sms_00132,mendeley_sms_phishing,sms,text,Spam,scam,none,unknown,yes,No,No,PL: Battle Royale! Gilchrist Vs Warne today at 8PM. Click http://ipl.onmix.mobi/?src=504 for IPL on mobile. To stop MIX alerts click http://onmix.mobi/alert
mendeley_sms_00133,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Dun need to use dial up juz open da browser n surf...
mendeley_sms_00134,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,You call him and tell now infront of them. Call him now.
mendeley_sms_00135,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
mendeley_sms_00136,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,"I noe la... U wana pei bf oso rite... K lor, other days den..."
mendeley_sms_00137,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Hey you gave them your photo when you registered for driving ah? Tmr wanna meet at yck?
mendeley_sms_00138,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,And by when you're done I mean now
mendeley_sms_00139,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,I dont want to hear anything
mendeley_sms_00140,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Kind of. Took it to garage. Centre part of exhaust needs replacing. Part ordered n taking it to be fixed tomo morning.
mendeley_sms_00141,mendeley_sms_phishing,sms,text,spam,scam,none,unknown,No,No,No,"FreeMsg Hey U, i just got 1 of these video/pic fones, reply WILD to this txt & ill send U my pics, hurry up Im so bored at work xxx (18 150p/rcvd STOP2stop)"
mendeley_sms_00142,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,"[…] anyway, many good evenings to u! s"
mendeley_sms_00143,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,EY! CALM DOWNON THEACUSATIONS.. ITXT U COS IWANA KNOW WOTU R DOIN AT THEW/END... HAVENTCN U IN AGES..RING ME IF UR UP4 NETHING SAT.LOVE J XXX.
mendeley_sms_00144,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Ü takin linear algebra today?
mendeley_sms_00145,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,"Jan is fast approaching. So, Wish u a very Happy New Year Happy Sankranti Happy republic day Happy Valentines Day Happy Shivratri Happy Ugadi Happy Fools day Happy May Day Happy Independence Day, Happy Friendship,Mother,Father,Teachers,Childrens Day, &amp; HAPPY BIRTHDAY 4 U. Happy Ganesh festival Happy Dasara Happy Diwali Happy Christmas  &lt;#&gt;  Good Mornings Afternoons, Evenings Nights. RememberI AM the first to WISHING U ALL THESE...your's Raj"
mendeley_sms_00146,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Really... I tot ur paper ended long ago... But wat u copied jus now got use? U happy lar... I still haf 2 study :-(
mendeley_sms_00147,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Jus finish bathing...
mendeley_sms_00148,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,"I think your mentor is , but not 100 percent sure."
mendeley_sms_00149,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?
mendeley_sms_00150,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Ok set let u noe e details later...
mendeley_sms_00151,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Hope this text meets you smiling. If not then let this text give you a reason to smile. Have a beautiful day.
mendeley_sms_00152,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Ok..lets find out�
mendeley_sms_00153,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,You busy or can I come by at some point and figure out what we're doing tomorrow
mendeley_sms_00154,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Thats cool. I want to please you...
mendeley_sms_00155,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,May i call You later Pls
mendeley_sms_00156,mendeley_sms_phishing,sms,text,Smishing,scam,none,unknown,No,No,yes,Please CALL 08712402779 immediately as there is an urgent message waiting for you
mendeley_sms_00157,mendeley_sms_phishing,sms,text,spam,scam,none,unknown,yes,yes,yes,"Text82228>> Get more ringtones, logos and games from www.txt82228.com. Questions: info@txt82228.co.uk"
mendeley_sms_00158,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,"My mobile number.pls sms ur mail id.convey regards to achan,amma.Rakhesh.Qatar"
mendeley_sms_00159,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Good Morning plz call me sir
mendeley_sms_00160,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Lol alright i was thinkin that too haha
mendeley_sms_00161,mendeley_sms_phishing,sms,text,spam,scam,none,unknown,No,No,yes,87077: Kick off a new season with 2wks FREE goals & news to ur mobile! Txt ur club name to 87077 eg VILLA to 87077
mendeley_sms_00162,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Ok pa. Nothing problem:-)
mendeley_sms_00163,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,"Alright omw, gotta change my order to a half8th"
mendeley_sms_00164,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Sorry about that this is my mates phone and i didnt write it love Kate
